Year,STATE,Total_Fires,Total_Fire_Size
2014,IN,1,1.18
2014,KS,1,0.1
2014,KY,6,173.6
2014,LA,22,24077.13
2014,MD,2,1.1
2014,ME,4,0.63
2014,MI,7,15.399999999999999
2014,MN,15,49.76
2014,MO,4,69.0
2014,MS,17,338.0
2014,MT,493,16077.78
2014,NC,58,869.5
2014,ND,9,138.4
2014,NE,44,1581.51
2014,NH,1,0.01
2014,NJ,5,1.25
2014,NM,392,11633.94
2014,NV,276,55517.46
2014,NY,276,145.12125
2014,OH,1,0.1
2014,OK,8,152.85
2014,OR,1857,858162.36
2014,PA,1,0.1
2014,SC,47,1137.58
2014,SD,50,490.71000000000004
2014,TN,12,64.4
2014,TX,243,24407.88
2014,UT,536,11864.619999999999
2014,VA,13,34.25
2014,WA,484,338284.88
2014,WI,15,122.36
2014,WV,3,25.0
2014,WY,153,4218.61
2015,AK,422,5034867.79
2015,AL,27,2848.1
2015,AR,23,181.7
2015,AZ,615,146072.59
2015,CA,1459,458305.76
2015,CO,347,4145.4
2015,FL,989,140215.49
2015,GA,209,2668.49
2015,IA,3,1.1
2015,ID,829,748312.17
2015,KS,78,1487.69
2015,KY,3,154.3
2015,LA,6,1387.5
2015,MA,67,34.55
2015,MD,2,27.5
2015,ME,18,11.6
2015,MI,16,37.81
2015,MN,17,57.42
2015,MO,1,1.5
2015,MS,16,2308.0
2015,MT,773,294198.24
2015,NC,48,2906.23
2015,ND,27,744.4
2015,NE,21,23473.85
2015,NH,3,17.85
2015,NJ,10,29.25
2015,NM,367,39024.35
2015,NV,325,18814.56
2015,NY,536,355.96
2015,OH,1,1.0
2015,OK,8,58.8
2015,OR,1093,417163.78
2015,PA,5,0.65
2015,SC,67,667.0
2015,SD,75,16548.35
2015,TN,7,1.4
2015,TX,200,50276.74
2015,UT,365,5261.16
2015,VA,21,542.5
2015,VT,2,0.060000000000000005
2015,WA,470,776847.73
2015,WI,17,27.49
2015,WV,5,16.2
2015,WY,219,8400.4
